*******************************************************************************************************************
* This Online Resource contains electronic supplemental material (ESM) accompanying the following article submitted to the
* International Journal of Biometeorology - Special Issue (UTCI):
*
* Deriving the Operational Procedure for the Universal Thermal Climate Index UTCI
* by
* Peter Bröde, Dusan Fiala, Krzysztof Blazejczyk, Ingvar Holmér, Gerd Jendritzky, Bernhard Kampmann, Birger Tinz, George Havenith
*
* Corresponding author:
* Peter Bröde
* Leibniz Research Centre for Working Environment and Human Factors (IfADo)
* Ardeystr. 67, 44139 Dortmund, Germany
* Phone +49 231 1084 225
* Fax +49 231 1084 400
* e-mail: broede@ifado.de 
*
* ESM 4: This TAB-delimited file tabulates values of the Offset (= UTCI - Ta) in °C for different input values of:
*    Ta:	air temperature in°C (range: -50 °C to +50 °C)
*    Tr-Ta:	difference between mean radiant temperature (Tr) and air temperature in °C (-30 °C to +70 °C)
*    va:	wind speed in m/s measured 10 m above ground level (0.5 m/s to 30.3 m/s)
*    rH:	relative humidity in % (5% to 100%)
*    pa:	water vapour pressure in kPa (0 kPa to 5 kPa)
*******************************************************************************************************************
Ta	Tr-Ta	va	rH	pa	Offset
-50	-30	0.5	5	0.00	-3.08
-50	-30	0.5	50	0.00	-3.08
-50	-30	0.5	100	0.01	-3.08
-50	-30	0.8	5	0.00	-3.51
-50	-30	0.8	50	0.00	-3.51
-50	-30	0.8	100	0.01	-3.51
-50	-30	1.2	5	0.00	-4.37
-50	-30	1.2	50	0.00	-4.37
-50	-30	1.2	100	0.01	-4.37
-50	-30	1.8	5	0.00	-6.51
-50	-30	1.8	50	0.00	-6.51
-50	-30	1.8	100	0.01	-6.51
-50	-30	2.7	5	0.00	-10.81
-50	-30	2.7	50	0.00	-10.81
-50	-30	2.7	100	0.01	-10.81
-50	-30	4.0	5	0.00	-15.97
-50	-30	4.0	50	0.00	-15.97
-50	-30	4.0	100	0.01	-15.97
-50	-30	6.0	5	0.00	-22.20
-50	-30	6.0	50	0.00	-22.20
-50	-30	6.0	100	0.01	-22.20
-50	-30	9.0	5	0.00	-29.72
-50	-30	9.0	50	0.00	-29.72
-50	-30	9.0	100	0.01	-29.72
-50	-30	13.5	5	0.00	-39.38
-50	-30	13.5	50	0.00	-39.38
-50	-30	13.5	100	0.01	-39.38
-50	-30	20.2	5	0.00	-52.49
-50	-30	20.2	50	0.00	-52.49
-50	-30	20.2	100	0.01	-52.49
-50	-30	30.3	5	0.00	-61.73
-50	-30	30.3	50	0.00	-61.73
-50	-30	30.3	100	0.01	-61.73
-50	-25	0.5	5	0.00	-2.65
-50	-25	0.5	50	0.00	-2.65
-50	-25	0.5	100	0.01	-2.65
-50	-25	0.8	5	0.00	-2.86
-50	-25	0.8	50	0.00	-2.86
